Startdatum,Starttid,Slutdatum,Sluttid,Kurs,Omgång,Undervisningstyp,Lokal,Lärare,Klass,Egen text,Undergrupp,Kurs 
2017-11-03,10:00,2017-11-03,12:00,TIG016GU,,Förel,Torg Grön,Urban Nulden,N1SYS-1-GU,,,Verksamheter och information
2017-11-06,10:00,2017-11-06,12:00,TIG016GU,,Förel,Torg Grön,Urban Nulden,N1SYS-1-GU,,,Verksamheter och information
2017-11-08,10:00,2017-11-08,12:00,TIG016GU,,Förel,Torg Grön,Urban Nulden,N1SYS-1-GU,,,Verksamheter och information
2017-11-10,10:00,2017-11-10,12:00,TIG016GU,,Förel,Torg Grön,Urban Nulden,N1SYS-1-GU,,,Verksamheter och information
2017-11-13,10:00,2017-11-13,12:00,TIG016GU,,Förel,Torg Grön,Urban Nulden,N1SYS-1-GU,,,Verksamheter och information
2017-11-15,10:00,2017-11-15,12:00,TIG016GU,,Förel,Torg Grön,Urban Nulden,N1SYS-1-GU,,,Verksamheter och information
2017-11-20,10:00,2017-11-20,12:00,TIG016GU,,Förel,Torg Grön,Urban Nulden,N1SYS-1-GU,,,Verksamheter och information
2017-11-22,10:00,2017-11-22,12:00,TIG016GU,,Förel,Torg Grön,Urban Nulden,N1SYS-1-GU,,,Verksamheter och information
2017-11-24,10:00,2017-11-24,12:00,TIG016GU,,Förel,Torg Grön,Urban Nulden,N1SYS-1-GU,,,Verksamheter och information
2017-11-27,09:00,2017-11-27,16:00,TIG016GU,,Handl,USB,Urban Nulden,N1SYS-1-GU,,,Verksamheter och information
2017-11-29,09:00,2017-11-29,16:00,TIG016GU,,Handl,USB,Urban Nulden,N1SYS-1-GU,,,Verksamheter och information
2017-12-01,10:00,2017-12-01,12:00,TIG016GU,,Förel,Torg Grön,Urban Nulden,N1SYS-1-GU,,,Verksamheter och information
2017-12-04,09:00,2017-12-04,16:00,TIG016GU,,Handl,USB,Urban Nulden,N1SYS-1-GU,,,Verksamheter och information
2017-12-06,09:00,2017-12-06,16:00,TIG016GU,,Handl,USB,Urban Nulden,N1SYS-1-GU,,,Verksamheter och information
2017-12-08,10:00,2017-12-08,12:00,TIG016GU,,Förel,Torg Grön,Urban Nulden,N1SYS-1-GU,,,Verksamheter och information
2017-12-11,10:00,2017-12-11,12:00,TIG016GU,,Förel,Torg Grön,Urban Nulden,N1SYS-1-GU,,,Verksamheter och information
2017-12-15,10:00,2017-12-15,12:00,TIG016GU,,Förel,Torg Grön,Urban Nulden,N1SYS-1-GU,,,Verksamheter och information
2017-12-18,09:00,2017-12-18,16:00,TIG016GU,,Handl,USB,Urban Nulden,N1SYS-1-GU,,,Verksamheter och information
2017-12-19,09:00,2017-12-19,16:00,TIG016GU,,Handl,USB,Urban Nulden,N1SYS-1-GU,,,Verksamheter och information
2018-01-02,09:00,2018-01-02,09:15,TIG016GU,,,,,N1SYS-1-GU,Sista anmälningsdag,,Verksamheter och information
2018-01-08,09:00,2018-01-08,16:00,TIG016GU,,Examin,Torg Grön,Urban Nulden,N1SYS-1-GU,,,Verksamheter och information
2018-01-09,09:00,2018-01-09,16:00,TIG016GU,,Examin,Torg Grön,Urban Nulden,N1SYS-1-GU,,,Verksamheter och information
2018-01-12,08:30,2018-01-12,12:30,TIG016GU,,Tentamen,,Urban Nulden,N1SYS-1-GU,,,Verksamheter och information
