Startdatum,Starttid,Slutdatum,Sluttid,Kurs,Omgång,Undervisningstyp,Lokal,Lärare,Klass,Egen text,Undergrupp,Kurs 
2014-09-01,09:15,2014-09-01,12:00,TIG015GU,,"Förel,Introd,Projekt",Torg Grön,Magnus Bergquist,N1SYS-1-GU,"BIS Kap1, 2 och 6",,Informationsteknologi och informationssystem
2014-09-01,12:00,2014-09-01,17:00,TIG015GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Informationsteknologi och informationssystem
2014-09-02,08:00,2014-09-02,10:15,TIG015GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Informationsteknologi och informationssystem
2014-09-02,10:15,2014-09-02,12:00,TIG015GU,,Förel,Torg Grön,Henrik Sandklef,N1SYS-1-GU,Programmering 1,,Informationsteknologi och informationssystem
2014-09-02,12:00,2014-09-02,16:00,TIG015GU,,Handled,Torg Grön,Henrik Sandklef,N1SYS-1-GU,handl. Programmering,,Informationsteknologi och informationssystem
2014-09-02,16:00,2014-09-02,17:00,TIG015GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Informationsteknologi och informationssystem
2014-09-03,08:00,2014-09-03,09:15,TIG015GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Informationsteknologi och informationssystem
2014-09-03,09:15,2014-09-03,12:00,TIG015GU,,"Förel,Projekt",Torg Grön,Kjell Engberg,N1SYS-1-GU,"BIS Kap 9, Styrkort",,Informationsteknologi och informationssystem
2014-09-03,12:00,2014-09-03,17:00,TIG015GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Informationsteknologi och informationssystem
2014-09-04,08:00,2014-09-04,10:15,TIG015GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Informationsteknologi och informationssystem
2014-09-04,10:15,2014-09-04,12:00,TIG015GU,,"Förel,Projekt",Torg Grön,Lennart Petersson,N1SYS-1-GU,BIS Kap 3,,Informationsteknologi och informationssystem
2014-09-04,12:00,2014-09-04,17:00,TIG015GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Informationsteknologi och informationssystem
2014-09-05,08:00,2014-09-05,10:15,TIG015GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Informationsteknologi och informationssystem
2014-09-05,10:15,2014-09-05,12:00,TIG015GU,,Förel,Torg Grön,Henrik Sandklef,N1SYS-1-GU,Programmering II,,Informationsteknologi och informationssystem
2014-09-05,12:00,2014-09-05,16:00,TIG015GU,,Handled,Torg Grön,Henrik Sandklef,N1SYS-1-GU,Handledning Programmering,,Informationsteknologi och informationssystem
2014-09-05,16:00,2014-09-05,17:00,TIG015GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Informationsteknologi och informationssystem
2014-09-08,08:00,2014-09-08,10:15,TIG015GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Informationsteknologi och informationssystem
2014-09-08,10:15,2014-09-08,12:00,TIG015GU,,Förel,Torg Grön,Henrik Sandklef,N1SYS-1-GU,OO-Programmering,,Informationsteknologi och informationssystem
2014-09-08,12:00,2014-09-08,13:00,TIG015GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Informationsteknologi och informationssystem
2014-09-08,13:00,2014-09-08,15:00,TIG015GU,,"Förel,Projekt",Torg Grön,"Aida Hadzic,Magnus Bergquist",N1SYS-1-GU,Projektstart,,Informationsteknologi och informationssystem
2014-09-08,15:00,2014-09-08,17:00,TIG015GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Informationsteknologi och informationssystem
2014-09-09,08:00,2014-09-09,10:15,TIG015GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Informationsteknologi och informationssystem
2014-09-09,10:15,2014-09-09,12:00,TIG015GU,,"Förel,Projekt",Torg Grön,Kjell Engberg,N1SYS-1-GU,"BIS kap 7, KEkomp",,Informationsteknologi och informationssystem
2014-09-09,12:00,2014-09-09,13:00,TIG015GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Informationsteknologi och informationssystem
2014-09-09,13:00,2014-09-09,16:00,TIG015GU,,"Förel,Projekt",Torg Grön,,N1SYS-1-GU,PPS-Metoden/Projektstart,,Informationsteknologi och informationssystem
2014-09-09,16:00,2014-09-09,17:00,TIG015GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Informationsteknologi och informationssystem
2014-09-10,08:00,2014-09-10,10:15,TIG015GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Informationsteknologi och informationssystem
