
TimeEdit,Chalmers
"Verksamheter och information, TIG016GU",2014-11-03 - 2015-01-18 v 45-3,
Startdatum,Starttid,Slutdatum,Sluttid,Kurs,Omgång,Typ,Lokal,Personal,Klass,Egen text,Undergrupp,Kurs 
2014-11-21,12:00,2014-11-21,17:00,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2014-11-24,08:00,2014-11-24,10:00,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2014-11-24,10:00,2014-11-24,12:00,TIG016GU,,Förel,Torg Grön,Urban Nulden,N1SYS-1-GU,J&T,,Verksamheter och information
2014-11-24,12:00,2014-11-24,13:00,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2014-11-24,13:00,2014-11-24,15:00,TIG016GU,,Handled,Torg Grön,Maria Bergenstjerna,N1SYS-1-GU,Grupparbete,,Verksamheter och information
2014-11-24,15:00,2014-11-24,17:00,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2014-11-25,08:00,2014-11-25,17:00,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2014-11-26,08:00,2014-11-26,10:00,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2014-11-26,10:00,2014-11-26,12:00,TIG016GU,,Förel,Torg Grön,Gäst,N1SYS-1-GU,Håkan Enquist,,Verksamheter och information
2014-11-26,12:00,2014-11-26,13:00,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2014-11-26,13:00,2014-11-26,15:00,TIG016GU,,Handled,Torg Grön,Kjell Engberg,N1SYS-1-GU,Grupparbete,,Verksamheter och information
2014-11-26,15:00,2014-11-26,17:00,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2014-11-27,08:00,2014-11-27,17:00,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2014-11-28,08:00,2014-11-28,10:00,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2014-11-28,10:00,2014-11-28,12:00,TIG016GU,,Förel,Torg Grön,Kjell Engberg,N1SYS-1-GU,OOAD,,Verksamheter och information
2014-11-28,12:00,2014-11-28,17:00,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2014-12-01,08:00,2014-12-01,10:00,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2014-12-01,10:00,2014-12-01,12:00,TIG016GU,,Handled,Torg Grön,Maria Bergenstjerna,N1SYS-1-GU,Grupparbete,,Verksamheter och information
2014-12-01,12:00,2014-12-01,13:00,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2014-12-01,13:00,2014-12-01,15:00,TIG016GU,,Handled,Torg Grön,Kjell Engberg,N1SYS-1-GU,Grupparbete,,Verksamheter och information
2014-12-01,15:00,2014-12-01,17:00,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2014-12-02,08:00,2014-12-02,17:00,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2014-12-03,08:00,2014-12-03,10:00,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2014-12-03,10:00,2014-12-03,12:00,TIG016GU,,Förel,Torg Grön,Gäst,N1SYS-1-GU,"Enquist, Jonsson",,Verksamheter och information
2014-12-03,12:00,2014-12-03,13:00,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2014-12-03,13:00,2014-12-03,16:00,TIG016GU,,Förel,Torg Grön,"Anna-Lena Fredriksson,Maria Bergenstjerna",N1SYS-1-GU,Inför tentamen,,Verksamheter och information
2014-12-03,16:00,2014-12-03,17:00,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2014-12-04,08:00,2014-12-04,10:15,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2014-12-04,12:00,2014-12-04,17:00,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2014-12-05,08:00,2014-12-05,10:00,TIG016GU,,Semin,Torg Grön,,N1SYS-1-GU,Grupp A,,Verksamheter och information
2014-12-05,10:00,2014-12-05,12:00,TIG016GU,,Semin,Torg Grön,,N1SYS-1-GU,Grupp B,,Verksamheter och information
2014-12-05,12:00,2014-12-05,17:00,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2014-12-08,08:00,2014-12-08,10:00,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2014-12-08,10:00,2014-12-08,12:00,TIG016GU,,Semin,Torg Grön,,N1SYS-1-GU,Grupp C,,Verksamheter och information
2014-12-08,12:00,2014-12-08,13:00,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2014-12-08,13:00,2014-12-08,15:00,TIG016GU,,Handl,Torg Grön,"Kjell Engberg,Maria Bergenstjerna",N1SYS-1-GU,Grupparbete,,Verksamheter och information
2014-12-08,15:00,2014-12-08,17:00,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2014-12-09,08:00,2014-12-09,17:00,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2014-12-10,08:00,2014-12-10,10:00,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2014-12-10,10:00,2014-12-10,12:00,TIG016GU,,Handl,Torg Grön,"Kjell Engberg,Maria Bergenstjerna",N1SYS-1-GU,,,Verksamheter och information
2014-12-10,12:00,2014-12-10,13:00,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2014-12-10,13:00,2014-12-10,15:00,TIG016GU,,Förel,Torg Grön,Gäst,N1SYS-1-GU,Mats-Åke Hugosson,,Verksamheter och information
2014-12-10,15:00,2014-12-10,17:00,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2014-12-11,08:00,2014-12-11,17:00,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2014-12-12,08:00,2014-12-12,10:00,TIG016GU,,Semin,Torg Grön,,N1SYS-1-GU,Grupp B,,Verksamheter och information
