
TimeEdit,Chalmers
"TIG015GU, Informationsteknologi och informationssystem",2016-08-29 - 2017-01-15 v 35-2,
Startdatum,Starttid,Slutdatum,Sluttid,Kurskod,Kursnamn,Lokal,Typ,Egen text,Bokningskommentar,Personal,Klass,Undergrupp 
2016-09-21,09:00,2016-09-21,16:00,TIG015GU,Informationsteknologi och informationssystem,Torg Grön,Seminarium,,Styrgruppsmöte 1,"Aida Hadzic,Anna-Lena Fredriksson,Kalevi Pessi",N1SYS-1-GU,
2016-09-22,09:00,2016-09-22,16:00,TIG015GU,Informationsteknologi och informationssystem,Torg Grön,Seminarium,,Styrgruppsmöte 1,"Aida Hadzic,Anna-Lena Fredriksson,Kalevi Pessi",N1SYS-1-GU,
2016-09-23,10:15,2016-09-23,12:00,TIG015GU,Informationsteknologi och informationssystem,Torg Grön,Föreläsning,,Genomgång av enkla spel,Henrik Sandklef,N1SYS-1-GU,
2016-09-23,13:00,2016-09-23,16:00,TIG015GU,Informationsteknologi och informationssystem,Torg 3,Handledning,,Handledning Programmering,Henrik Sandklef,N1SYS-1-GU,
2016-09-26,10:15,2016-09-26,12:00,TIG015GU,Informationsteknologi och informationssystem,Torg Grön,Föreläsning,,Problemlösning med Java,Henrik Sandklef,N1SYS-1-GU,
2016-09-26,13:00,2016-09-26,16:00,TIG015GU,Informationsteknologi och informationssystem,Torg 3,Handledning,,Handledning Programmering,Henrik Sandklef,N1SYS-1-GU,
2016-09-27,10:00,2016-09-27,16:00,TIG015GU,Informationsteknologi och informationssystem,,Handledning,,Handledning Projekt,Aida Hadzic,N1SYS-1-GU,
2016-09-28,10:00,2016-09-28,16:00,TIG015GU,Informationsteknologi och informationssystem,,Handledning,,Handledning Projekt,Aida Hadzic,N1SYS-1-GU,
2016-09-29,10:15,2016-09-29,12:00,TIG015GU,Informationsteknologi och informationssystem,Torg Grön,Föreläsning,GÄST,Projekt,,N1SYS-1-GU,
2016-09-30,10:15,2016-09-30,12:00,TIG015GU,Informationsteknologi och informationssystem,Torg Grön,Föreläsning,,"Lägga till egna objekt i spelet, utöka klasser - arv",,N1SYS-1-GU,
2016-09-30,13:00,2016-09-30,16:00,TIG015GU,Informationsteknologi och informationssystem,Torg 3,Handledning,,Handledning Programmering,Henrik Sandklef,N1SYS-1-GU,
2016-09-30,23:45,2016-10-01,00:00,TIG015GU,Informationsteknologi och informationssystem,,Inlämning,Inlämningsuppgift  2 i GUL,23:59 Inlämningsuppgift  2 i GUL,,N1SYS-1-GU,
2016-10-03,10:15,2016-10-03,12:00,TIG015GU,Informationsteknologi och informationssystem,Torg Grön,Föreläsning,,Arv- teori,Henrik Sandklef,N1SYS-1-GU,
2016-10-03,13:00,2016-10-03,16:00,TIG015GU,Informationsteknologi och informationssystem,Torg Blå,Handledning,,Handledning Programmering/ Inlämningsuppgift  3 ut,Henrik Sandklef,N1SYS-1-GU,
2016-10-05,09:00,2016-10-05,16:00,TIG015GU,Informationsteknologi och informationssystem,Torg Grön,Seminarium,,Styrgruppsmöte 2,"Aida Hadzic,Anna-Lena Fredriksson,Kalevi Pessi",N1SYS-1-GU,
2016-10-06,09:00,2016-10-06,16:00,TIG015GU,Informationsteknologi och informationssystem,Torg Grön,Seminarium,,Styrgruppsmöte 2,"Aida Hadzic,Anna-Lena Fredriksson,Kalevi Pessi",N1SYS-1-GU,
2016-10-07,08:00,2016-10-07,18:00,Omtenta LP4/Re-exam SP4,,,,,,,,
2016-10-07,10:15,2016-10-07,12:00,TIG015GU,Informationsteknologi och informationssystem,Torg Grön,Föreläsning,,Uppfylla förväntningar - interface,Henrik Sandklef,N1SYS-1-GU,
2016-10-07,13:00,2016-10-07,16:00,TIG015GU,Informationsteknologi och informationssystem,Torg 3,Handledning,,Handledning Programmering,Henrik Sandklef,N1SYS-1-GU,
2016-10-08,08:00,2016-10-08,18:00,Omtenta LP4/Re-exam SP4,,,,,,,,
2016-10-10,10:15,2016-10-10,12:00,TIG015GU,Informationsteknologi och informationssystem,Torg Grön,Föreläsning,,Interface- teori,Henrik Sandklef,N1SYS-1-GU,
2016-10-10,13:00,2016-10-10,16:00,TIG015GU,Informationsteknologi och informationssystem,Torg 3,Handledning,,Handledning Programmering,Henrik Sandklef,N1SYS-1-GU,
2016-10-12,09:00,2016-10-12,16:00,TIG015GU,Informationsteknologi och informationssystem,Torg 3,Handledning,,Handledning Programmering,Henrik Sandklef,N1SYS-1-GU,
2016-10-14,10:15,2016-10-14,12:00,TIG015GU,Informationsteknologi och informationssystem,Torg Grön,Föreläsning,,Sammanfattning av de koncept vi gått igenom,Henrik Sandklef,N1SYS-1-GU,
2016-10-14,13:00,2016-10-14,16:00,TIG015GU,Informationsteknologi och informationssystem,Torg 3,Handledning,,Handledning Programmering,Henrik Sandklef,N1SYS-1-GU,
2016-10-17,10:15,2016-10-17,12:00,TIG015GU,Informationsteknologi och informationssystem,Torg Grön,Övrigt,,"Repetition, Inför tentan",Henrik Sandklef,N1SYS-1-GU,
2016-10-17,13:00,2016-10-17,16:00,TIG015GU,Informationsteknologi och informationssystem,Torg 3,Handledning,,Handledning Programmering,Henrik Sandklef,N1SYS-1-GU,
2016-10-19,09:00,2016-10-19,16:00,TIG015GU,Informationsteknologi och informationssystem,Torg 3,Handledning,,Handledning Programmering,Henrik Sandklef,N1SYS-1-GU,
2016-10-19,13:00,2016-10-19,15:00,TIG015GU,Informationsteknologi och informationssystem,Torg Grön,Föreläsning,,,Henrik Sandklef,N1SYS-1-GU,
2016-10-20,23:45,2016-10-21,00:00,TIG015GU,Informationsteknologi och informationssystem,,Inlämning,Inlämningsuppgift  3  i Gul,23:59 Inlämningsuppgift  3  i GUL,,N1SYS-1-GU,
2016-10-21,10:30,2016-10-21,12:00,TIG015GU,Informationsteknologi och informationssystem,Torg Grön,Handledning,,,Henrik Sandklef,N1SYS-1-GU,
2016-10-21,23:45,2016-10-22,00:00,TIG015GU,Informationsteknologi och informationssystem,,Inlämning,Inlämning Projektrapport,23:59 Inlämning Projektrapport,,N1SYS-1-GU,
2016-10-22,08:00,2016-10-22,18:00,Tentamen LP1/Exam SP1,,,,,,,,
2016-10-24,08:00,2016-10-24,18:00,Tentamen LP1/Exam SP1,,,,,,,,
2016-10-24,09:00,2016-10-24,16:00,TIG015GU,Informationsteknologi och informationssystem,,Övrigt,,Systemtest,"Alan Carlson,Henrik Sandklef,Lennart Petersson",N1SYS-1-GU,
2016-10-25,08:00,2016-10-25,18:00,Tentamen LP1/Exam SP1,,,,,,,,
2016-10-25,09:00,2016-10-25,16:00,TIG015GU,Informationsteknologi och informationssystem,,Övrigt,,Systemtest,"Alan Carlson,Henrik Sandklef,Lennart Petersson",N1SYS-1-GU,
2016-10-26,08:00,2016-10-26,18:00,Tentamen LP1/Exam SP1,,,,,,,,
2016-10-26,09:00,2016-10-26,16:00,TIG015GU,Informationsteknologi och informationssystem,,Övrigt,,Systemtest,"Alan Carlson,Henrik Sandklef",N1SYS-1-GU,
2016-10-27,08:00,2016-10-27,18:00,Tentamen LP1/Exam SP1,,,,,,,,
2016-10-27,08:30,2016-10-27,12:30,TIG015GU,Informationsteknologi och informationssystem,,Tentamen,Tentamen,Tentamen,,N1SYS-1-GU,
2016-10-28,08:00,2016-10-28,18:00,Tentamen LP1/Exam SP1,,,,,,,,
2016-10-28,09:00,2016-10-28,16:00,TIG015GU,Informationsteknologi och informationssystem,,Övrigt,,Systemtest,"Alan Carlson,Henrik Sandklef,Lennart Petersson",N1SYS-1-GU,
2016-10-29,08:00,2016-10-29,18:00,Tentamen LP1/Exam SP1,,,,,,,,
2016-11-04,13:00,2016-11-04,17:00,Halvdag /Half-day,,,,,,,,
2016-12-14,08:30,2016-12-14,12:30,TIG015GU,Informationsteknologi och informationssystem,,Tentamen,,,,N1SYS-1-GU,
2016-12-19,08:00,2016-12-19,17:00,Självstudier/Self-studies,,,,,,,,
2016-12-20,08:00,2016-12-20,18:00,Omtentamen LP1/Re-exam SP1,,,,,,,,
2016-12-21,08:00,2016-12-21,18:00,Omtentamen LP1/Re-exam SP1,,,,,,,,
2016-12-22,08:00,2016-12-22,18:00,Omtentamen LP1/Re-exam SP1,,,,,,,,
2016-12-23,08:00,2016-12-23,17:00,Självstudier/Self-studies,,,,,,,,
2016-12-26,08:00,2016-12-26,17:00,Självstudier/Self-studies,,,,,,,,
2016-12-27,08:00,2016-12-27,17:00,Självstudier/Self-studies,,,,,,,,
2016-12-28,08:00,2016-12-28,17:00,Självstudier/Self-studies,,,,,,,,
2016-12-29,08:00,2016-12-29,17:00,Självstudier/Self-studies,,,,,,,,
2016-12-30,08:00,2016-12-30,17:00,Självstudier/Self-studies,,,,,,,,
2017-01-01,00:00,2017-01-02,00:00,Nyårsdagen,,,,,,,,
2017-01-02,08:00,2017-01-02,17:00,Självstudier/Self-studies,,,,,,,,
2017-01-03,08:00,2017-01-03,17:00,Självstudier/Self-studies,,,,,,,,
2017-01-04,08:00,2017-01-04,17:00,Självstudier/Self-studies,,,,,,,,
2017-01-05,08:00,2017-01-05,17:00,Självstudier/Self-studies,,,,,,,,
2017-01-06,08:00,2017-01-06,17:00,Trettondedag jul/Holiday,,,,,,,,
2017-01-09,08:00,2017-01-09,18:00,Tentamen LP2/Exam SP2,,,,,,,,
2017-01-10,08:00,2017-01-10,18:00,Tentamen LP2/Exam SP2,,,,,,,,
2017-01-11,08:00,2017-01-11,18:00,Tentamen LP2/Exam SP2,,,,,,,,
2017-01-12,08:00,2017-01-12,18:00,Tentamen LP2/Exam SP2,,,,,,,,
2017-01-13,08:00,2017-01-13,18:00,Tentamen LP2/Exam SP2,,,,,,,,
2017-01-14,08:00,2017-01-14,18:00,Tentamen LP2/Exam SP2,,,,,,,,
