"TIG015, Informationsteknologi och informationssystem, DAG, HT2019, ORD, NML, GÖTEBORG",2019-09-02 - 2020-03-02,
Startdatum,Starttid,Slutdatum,Sluttid,Kurs,"Grupp,Undergrupp,Basgrupp",Del av kurs,Lokal,Lärare,Undervisningstyp,Rubrik,Kommentar,Länk,Läsanvisningar,Persongrupp 
2019-09-24,13:00,2019-09-24,15:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Aida Hadzic Zukic, Kalevi Pessi",Föreläsning,Genomgång Projektrapport,BIS/Projekt  Genomgång Projektrapport,,,
2019-09-25,10:00,2019-09-25,12:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Föreläsning,,,,,
2019-09-25,13:00,2019-09-25,15:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Handledning,,,,,
2019-09-26,09:00,2019-09-26,16:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Thanos (481),"Aida Hadzic Zukic, Anna-Lena Fredriksson, Kalevi Pessi, Urban Nuldén",Lärare/student möte,Styrgruppsmöte 1,,,,
2019-09-27,09:00,2019-09-27,16:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Thanos (481),"Aida Hadzic Zukic, Anna-Lena Fredriksson, Kalevi Pessi, Urban Nuldén",Lärare/student möte,Styrgruppsmöte 1,,,,
2019-09-27,10:00,2019-09-27,12:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Handledning,,,,,
2019-09-30,10:00,2019-09-30,12:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Workshop,,,,,
2019-09-30,13:00,2019-09-30,15:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Workshop,,,,,
2019-10-01,10:15,2019-10-01,12:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Aida Hadzic Zukic, Kalevi Pessi",Föreläsning,,Föreläsning BIS/Projekt,,,
2019-10-02,10:00,2019-10-02,12:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Föreläsning,,,,,
2019-10-02,13:00,2019-10-02,15:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Handledning,,,,,
2019-10-04,10:00,2019-10-04,12:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Handledning,,,,,
2019-10-07,10:00,2019-10-07,12:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Workshop,,,,,
2019-10-07,13:00,2019-10-07,15:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Workshop,,,,,
2019-10-08,09:00,2019-10-08,16:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,"Thanos (481), USB (433)","Aida Hadzic Zukic, Kalevi Pessi, Urban Nuldén",Handledning,,Handledning BIS/Projekt Handledning inför SGM 2,,,
2019-10-09,10:00,2019-10-09,12:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Föreläsning,,,,,
2019-10-09,13:00,2019-10-09,15:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Handledning,,,,,
2019-10-11,10:00,2019-10-11,12:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Handledning,,,,,
2019-10-14,10:00,2019-10-14,12:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Workshop,,,,,
2019-10-14,13:00,2019-10-14,15:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Workshop,,,,,
2019-10-16,10:00,2019-10-16,12:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Föreläsning,,,,,
