
TimeEdit,Chalmers
"Programmeringsteknik och databaser, TIG058GU",2016-01-18 - 2016-03-27 v 3-12,
Startdatum,Starttid,Slutdatum,Sluttid,Kurs,Omgång,Typ,Lokal,Personal,Klass,Egen text,Undergrupp,Kurs 
2016-03-02,13:00,2016-03-02,15:00,TIG058GU,,Handl,Torg Grön,Alan Carlson,N1SYS-1-GU,,,Programmeringsteknik och databaser
2016-03-03,10:00,2016-03-03,12:00,TIG058GU,,Förel,Torg Grön,Alan Carlson,N1SYS-1-GU,DB E/R 2,,Programmeringsteknik och databaser
2016-03-04,10:00,2016-03-04,12:00,TIG058GU,,Workshop,Torg Grön,Alan Carlson,N1SYS-1-GU,E/R,,Programmeringsteknik och databaser
2016-03-08,10:00,2016-03-08,12:00,TIG058GU,,Förel,Torg Grön,,N1SYS-1-GU,DB F. Interna,,Programmeringsteknik och databaser
2016-03-08,13:00,2016-03-08,15:00,TIG058GU,,Handl,Torg Grön,,N1SYS-1-GU,,,Programmeringsteknik och databaser
2016-03-09,10:00,2016-03-09,12:00,TIG058GU,,Förel,Torg Grön,,N1SYS-1-GU,DB F. Interna,,Programmeringsteknik och databaser
2016-03-09,13:00,2016-03-09,15:00,TIG058GU,,Handl,Torg Grön,,N1SYS-1-GU,,,Programmeringsteknik och databaser
2016-03-10,10:00,2016-03-10,12:00,TIG058GU,,Handl,Torg Grön,,N1SYS-1-GU,,,Programmeringsteknik och databaser
2016-03-10,13:00,2016-03-10,15:00,TIG058GU,,Handl,Torg Grön,,N1SYS-1-GU,,,Programmeringsteknik och databaser
2016-03-11,10:00,2016-03-11,12:00,TIG058GU,,Handl,Torg Grön,,N1SYS-1-GU,,,Programmeringsteknik och databaser
2016-03-14,10:00,2016-03-14,12:00,TIG058GU,,Handl,Torg Grön,,N1SYS-1-GU,,,Programmeringsteknik och databaser
2016-03-14,13:00,2016-03-14,15:00,TIG058GU,,Handl,Torg Grön,,N1SYS-1-GU,,,Programmeringsteknik och databaser
2016-03-15,10:00,2016-03-15,12:00,TIG058GU,,Handl,Torg Grön,,N1SYS-1-GU,,,Programmeringsteknik och databaser
2016-03-15,13:00,2016-03-15,15:00,TIG058GU,,Handl,Torg Grön,,N1SYS-1-GU,,,Programmeringsteknik och databaser
2016-03-16,10:00,2016-03-16,12:00,TIG058GU,,Handl,Torg Grön,,N1SYS-1-GU,,,Programmeringsteknik och databaser
2016-03-16,13:00,2016-03-16,15:00,TIG058GU,,Handl,Torg Grön,,N1SYS-1-GU,,,Programmeringsteknik och databaser
2016-03-17,10:00,2016-03-17,12:00,TIG058GU,,Handl,Torg Grön,,N1SYS-1-GU,,,Programmeringsteknik och databaser
2016-03-18,09:00,2016-03-18,17:00,TIG058GU,,"Handl,pres",,,N1SYS-1-GU,SYSTEMTEST (Inl.uppg. 3),,Programmeringsteknik och databaser
2016-03-21,09:00,2016-03-21,17:00,TIG058GU,,"Handl,pres",,,N1SYS-1-GU,SYSTEMTEST (Inl.uppg. 3),,Programmeringsteknik och databaser
2016-03-23,14:00,2016-03-23,18:00,TIG058GU,,Tentamen,,,N1SYS-1-GU,,,Programmeringsteknik och databaser
