
TimeEdit,Göteborgs universitet
"TIG015, Informationsteknologi och informationssystem, DAG, H18, ORD, NML, GÖTEBORG",2018-09-03 - 2019-01-20 v 36-3,
Startdatum,Starttid,Slutdatum,Sluttid,Kurs,"Grupp,Undergrupp,Basgrupp",Del av kurs,Lokal,Lärare,Undervisningstyp,Rubrik,Kommentar,Länk,Läsanvisningar,Persongrupp 
2018-09-27,09:00,2018-09-27,13:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Orange (406),"Anna-Lena Fredriksson, Kalevi Pessi, Urban Nuldén","Lärare/student möte, Seminarium",Styrgruppsmöte 1,Styrgruppsmöte 1,,,
2018-09-27,13:00,2018-09-27,16:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,"Grace Hopper (323A), Thanos (481)","Anna-Lena Fredriksson, Kalevi Pessi, Urban Nuldén","Lärare/student möte, Seminarium",,,,,
2018-09-28,09:00,2018-09-28,12:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,"Erik Stemme (339B), Thanos (481)","Kalevi Pessi, Urban Nuldén","Lärare/student möte, Seminarium",,,,,
2018-09-28,13:00,2018-09-28,16:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,"Thanos (481), Torg 3 (331)","Anna-Lena Fredriksson, Kalevi Pessi, Urban Nuldén","Lärare/student möte, Seminarium",,,,,
2018-10-01,10:15,2018-10-01,12:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Föreläsning,,,,,
2018-10-01,13:00,2018-10-01,16:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Handledning,,,,Handledning Programmering,
2018-10-03,09:00,2018-10-03,12:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),,"Självstudier, Övning",Programmering,,,,
2018-10-05,10:15,2018-10-05,12:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Föreläsning,,,,"Lägga till egna objekt i spelet, utöka klasser - arv",
2018-10-05,13:00,2018-10-05,16:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Handledning,,,,Handledning Programmering,
2018-10-08,10:15,2018-10-08,12:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Föreläsning,,,,Arv- teori,
2018-10-08,13:00,2018-10-08,16:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Handledning,Handledning Programmering,,,,
2018-10-10,09:00,2018-10-10,16:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,"Thanos (481), USB (433)","Kalevi Pessi, Urban Nuldén","Handledning, Projektarbete",,,,Handledning Projekt,
2018-10-11,09:00,2018-10-11,12:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),,"Självstudier, Övning",Programmering,,,,
2018-10-12,10:15,2018-10-12,12:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Föreläsning,,,,Uppfylla förväntningar - interface,
2018-10-12,11:45,2018-10-12,12:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,,,Inlämning,Inlämning i GUL,Inlämning Underlag till styrgruppsmöte 2. Senast kl 12:00,,,
2018-10-12,13:00,2018-10-12,16:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Handledning,,,,Handledning Programmering,
2018-10-15,10:15,2018-10-15,12:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Föreläsning,,,,,
2018-10-15,13:00,2018-10-15,16:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Handledning,,,,Handledning Programmering,
2018-10-16,09:00,2018-10-16,16:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Blå (407),"Anna-Lena Fredriksson, Kalevi Pessi, Urban Nuldén","Lärare/student möte, Seminarium",Styrgruppsmöte 2,Styrgruppsmöte 2,,,
2018-10-17,09:00,2018-10-17,16:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Grace Hopper (323A),"Anna-Lena Fredriksson, Kalevi Pessi, Urban Nuldén","Lärare/student möte, Seminarium",Styrgruppsmöte 2,Styrgruppsmöte 2,,,
2018-10-18,09:00,2018-10-18,16:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Handledning,,,,Handledning Programmering,
2018-10-19,10:15,2018-10-19,12:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Föreläsning,,,,,
2018-10-19,13:00,2018-10-19,16:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Handledning,,,,Handledning Programmering,
2018-10-22,10:15,2018-10-22,12:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Föreläsning,,,,,
2018-10-22,13:00,2018-10-22,16:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Handledning,,,,Handledning Programmering,
2018-10-22,16:00,2018-10-22,16:15,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,,,Anmälan,Påminnelse!,Sista anmälningsdag till salstentan,,,
2018-10-23,15:00,2018-10-23,17:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),,Övning,Liveprogrammering,Liveprogrammering inför tentan hålls av Sysomatic,,,
2018-10-24,10:15,2018-10-24,12:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Föreläsning,,,,,
2018-10-24,13:00,2018-10-24,16:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Handledning,,,,Handledning Programmering,
2018-10-25,09:00,2018-10-25,12:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),,"Självstudier, Övning",programmering,,,,
2018-10-29,09:00,2018-10-29,16:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Handledning,Handledning programmering,,,,
2018-10-29,23:45,2018-10-30,00:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,,,Inlämning,Inlämning Projektrapport,Inlämning Projektrapport i GUL  Senast 23:59,,,
2018-10-30,09:00,2018-10-30,16:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Handledning,Handledning programmering,,,,
2018-10-31,09:00,2018-10-31,16:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Handledning,Handledning programmering,,,,
2018-11-01,08:30,2018-11-01,12:30,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,,,Tentamen,,"Salstenta, se information om sal i hus Saga",,,
2018-11-02,09:00,2018-11-02,16:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Handledning,Handledning programmering,,,,
2018-11-04,23:45,2018-11-05,00:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,,,Inlämning,I GUL senast 23:59,,,Obligatorisk inlämning i programmering,
2018-12-19,08:30,2018-12-19,12:30,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,,,Tentamen,,,,,
