
TimeEdit,Chalmers
"Programmeringsteknik och databaser, TIG058GU",2015-01-19 - 2015-06-07 v 4-23,
Startdatum,Starttid,Slutdatum,Sluttid,Kurs,Omgång,Typ,Lokal,Personal,Klass,Egen text,Undergrupp,Kurs 
2015-01-19,10:00,2015-01-19,12:00,TIG058GU,,Introd,Torg Grön,Lennart Petersson,N1SYS-1-GU,,,Programmeringsteknik och databaser
2015-01-20,10:00,2015-01-20,12:00,TIG058GU,,Förel,Torg Grön,Henrik Sandklef,N1SYS-1-GU,Java,,Programmeringsteknik och databaser
2015-01-21,10:00,2015-01-21,12:00,TIG058GU,,Förel,Torg Grön,Anna-Lena Fredriksson,N1SYS-1-GU,Teknisk Dokumentation,,Programmeringsteknik och databaser
2015-01-21,13:00,2015-01-21,16:00,TIG058GU,,Handl,Torg Grön,,N1SYS-1-GU,,,Programmeringsteknik och databaser
2015-01-22,10:00,2015-01-22,12:00,TIG058GU,,Förel,Torg Grön,Henrik Sandklef,N1SYS-1-GU,F Java,,Programmeringsteknik och databaser
2015-01-23,13:00,2015-01-23,16:00,TIG058GU,,Handl,Torg Grön,,N1SYS-1-GU,,,Programmeringsteknik och databaser
2015-01-26,10:00,2015-01-26,12:00,TIG058GU,,Förel,Torg Grön,Henrik Sandklef,N1SYS-1-GU,,,Programmeringsteknik och databaser
2015-01-28,10:00,2015-01-28,12:00,TIG058GU,,Förel,Torg Grön,Henrik Sandklef,N1SYS-1-GU,DB Intro.,,Programmeringsteknik och databaser
2015-01-28,13:00,2015-01-28,16:00,TIG058GU,,Handl,Torg Grön,,N1SYS-1-GU,,,Programmeringsteknik och databaser
2015-01-30,10:00,2015-01-30,12:00,TIG058GU,,Förel,Torg Grön,Henrik Sandklef,N1SYS-1-GU,Java Kommentarer,,Programmeringsteknik och databaser
2015-01-30,13:00,2015-01-30,16:00,TIG058GU,,Handl,Torg Grön,,N1SYS-1-GU,,,Programmeringsteknik och databaser
2015-02-02,10:00,2015-02-02,12:00,TIG058GU,,Förel,Torg Grön,Alan Carlson,N1SYS-1-GU,"DB Logik, mängdlära",,Programmeringsteknik och databaser
2015-02-03,09:00,2015-02-03,12:00,TIG058GU,,Förel,Torg Grön,Henrik Sandklef,N1SYS-1-GU,Java Sortering,,Programmeringsteknik och databaser
2015-02-04,10:00,2015-02-04,12:00,TIG058GU,,Förel,Torg Grön,Alan Carlson,N1SYS-1-GU,DB Relationsmodellen,,Programmeringsteknik och databaser
2015-02-04,13:00,2015-02-04,16:00,TIG058GU,,Handl,Torg Grön,,N1SYS-1-GU,,,Programmeringsteknik och databaser
2015-02-06,09:00,2015-02-06,12:00,TIG058GU,,Förel,Torg Grön,Henrik Sandklef,N1SYS-1-GU,Binärsökning...,,Programmeringsteknik och databaser
