Startdatum,Starttid,Slutdatum,Sluttid,Kurs,Omgång,Undervisningstyp,Lokal,Lärare,Klass,Egen text,Undergrupp,Kurs 
2017-08-23,09:00,2017-08-23,12:00,TIG015GU,,Introd,Torg Grön,,N1SYS-1-GU,,,Informationsteknologi och informationssystem
2017-08-24,09:00,2017-08-24,12:00,TIG015GU,,Introd,Torg Grön,,N1SYS-1-GU,,,Informationsteknologi och informationssystem
2017-08-25,09:00,2017-08-25,12:00,TIG015GU,,Introd,Torg Grön,,N1SYS-1-GU,,,Informationsteknologi och informationssystem
2017-08-28,09:15,2017-08-28,12:00,TIG015GU,,Introd,Torg Grön,Kalevi Pessi,N1SYS-1-GU,,,Informationsteknologi och informationssystem
2017-08-29,10:15,2017-08-29,12:00,TIG015GU,,Förel,Torg Grön,Henrik Sandklef,N1SYS-1-GU,Dator och OS- introduktion,,Informationsteknologi och informationssystem
2017-08-29,13:00,2017-08-29,16:00,TIG015GU,,Handl,Torg Grön,Henrik Sandklef,N1SYS-1-GU,"Handledning, programmering",,Informationsteknologi och informationssystem
2017-08-31,10:15,2017-08-31,12:00,TIG015GU,,Förel,Torg Grön,Aida Hadzic,N1SYS-1-GU,Projektstyrning,,Informationsteknologi och informationssystem
2017-09-01,10:15,2017-09-01,12:00,TIG015GU,,Förel,Torg Grön,Henrik Sandklef,N1SYS-1-GU,Programmeringsgrunder,,Informationsteknologi och informationssystem
2017-09-01,13:00,2017-09-01,16:00,TIG015GU,,Handl,Torg Grön,Henrik Sandklef,N1SYS-1-GU,"Handledning, programmering",,Informationsteknologi och informationssystem
2017-09-04,10:15,2017-09-04,12:00,TIG015GU,,Förel,Torg Grön,Henrik Sandklef,N1SYS-1-GU,"Typer, variabler och uttryck",,Informationsteknologi och informationssystem
2017-09-04,13:00,2017-09-04,15:00,TIG015GU,,Förel,Torg Grön,"Aida Hadzic,Kalevi Pessi",N1SYS-1-GU,Projektstart,,Informationsteknologi och informationssystem
2017-09-05,10:15,2017-09-05,12:00,TIG015GU,,Förel,Torg Grön,Aida Hadzic,N1SYS-1-GU,BIS Kap 8 & 10  + Övning,,Informationsteknologi och informationssystem
2017-09-05,13:00,2017-09-05,15:00,TIG015GU,,Förel,Torg Grön,Aida Hadzic,N1SYS-1-GU,Projekt,,Informationsteknologi och informationssystem
2017-09-07,09:15,2017-09-07,12:00,TIG015GU,,Gästföreläs,Torg Grön,,N1SYS-1-GU,Bengt-Erik Larsson,,Informationsteknologi och informationssystem
2017-09-07,13:00,2017-09-07,15:00,TIG015GU,,Förel,Torg Grön,Anna-Lena Fredriksson,N1SYS-1-GU,Referera och citera,,Informationsteknologi och informationssystem
2017-09-08,10:15,2017-09-08,12:00,TIG015GU,,Förel,Torg Grön,Henrik Sandklef,N1SYS-1-GU,"Block, if, for, while",,Informationsteknologi och informationssystem
2017-09-08,13:00,2017-09-08,16:00,TIG015GU,,Handl,Torg Grön,Henrik Sandklef,N1SYS-1-GU,"Handledning, programmering",,Informationsteknologi och informationssystem
2017-09-11,10:15,2017-09-11,12:00,TIG015GU,,Förel,Torg Grön,Henrik Sandklef,N1SYS-1-GU,,,Informationsteknologi och informationssystem
2017-09-11,13:00,2017-09-11,16:00,TIG015GU,,Handl,Torg Grön,Henrik Sandklef,N1SYS-1-GU,"Handledning, programmering",,Informationsteknologi och informationssystem
2017-09-11,23:45,2017-09-12,00:00,TIG015GU,,Inlämning,,,N1SYS-1-GU,I GUL senast 23:59,,Informationsteknologi och informationssystem
2017-09-12,10:15,2017-09-12,12:00,TIG015GU,,Förel,Torg Grön,Anna-Lena Fredriksson,N1SYS-1-GU,Muntlig presentationsteknik,,Informationsteknologi och informationssystem
2017-09-13,10:15,2017-09-13,12:00,TIG015GU,,Förel,Torg Grön,Aida Hadzic,N1SYS-1-GU,Genomgång Projektrapport,,Informationsteknologi och informationssystem
2017-09-13,13:00,2017-09-13,16:00,TIG015GU,,Handl,Torg Grön,Henrik Sandklef,N1SYS-1-GU,"Handledning, programmering",,Informationsteknologi och informationssystem
2017-09-14,09:00,2017-09-14,14:30,TIG015GU,,Handl,Thanos,Aida Hadzic,N1SYS-1-GU,,,Informationsteknologi och informationssystem
2017-09-15,09:00,2017-09-15,16:00,TIG015GU,,Handl,Thanos,Aida Hadzic,N1SYS-1-GU,,,Informationsteknologi och informationssystem
2017-09-18,10:15,2017-09-18,12:00,TIG015GU,,Förel,Torg Grön,Henrik Sandklef,N1SYS-1-GU,,,Informationsteknologi och informationssystem
2017-09-18,13:00,2017-09-18,15:00,TIG015GU,,Handl,Torg Grön,Henrik Sandklef,N1SYS-1-GU,"Handledning, programmering",,Informationsteknologi och informationssystem
2017-09-19,10:15,2017-09-19,12:00,TIG015GU,,Förel,Torg Grön,Kalevi Pessi,N1SYS-1-GU,BIS,,Informationsteknologi och informationssystem
2017-09-20,09:00,2017-09-20,16:00,TIG015GU,,Semin,Thanos,"Aida Hadzic,Anna-Lena Fredriksson,Kalevi Pessi",N1SYS-1-GU,Styrgruppsmöte 1,,Informationsteknologi och informationssystem
2017-09-21,09:00,2017-09-21,16:00,TIG015GU,,Semin,Thanos,"Aida Hadzic,Anna-Lena Fredriksson,Kalevi Pessi",N1SYS-1-GU,Styrgruppsmöte 1,,Informationsteknologi och informationssystem
2017-09-22,10:15,2017-09-22,12:00,TIG015GU,,Förel,Torg Grön,Henrik Sandklef,N1SYS-1-GU,,,Informationsteknologi och informationssystem
