Startdatum,Starttid,Slutdatum,Sluttid,Kurs,"Grupp,Undergrupp,Basgrupp",Del av kurs,Lokal,Lärare,Undervisningstyp,Rubrik,Kommentar,Länk,Läsanvisningar,Persongrupp 
2018-01-15,09:00,2018-01-15,12:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),Rikard Fröberg,Föreläsning,,Databaser,,,
2018-01-16,09:00,2018-01-16,12:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),Rikard Fröberg,Workshop,,Java Lab,,,
2018-01-16,13:00,2018-01-16,15:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),Rikard Fröberg,Workshop,,,,,
2018-01-17,09:00,2018-01-17,12:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),Rikard Fröberg,Föreläsning,,Databaser,,,
2018-01-18,09:00,2018-01-18,12:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),Rikard Fröberg,Handledning,,Lab Lärarledd handledning,,,
2018-01-18,13:00,2018-01-18,16:00,TIG058. Programmeringsteknik och databaser,,,Torg Grön (405),,Handledning,,Student- handledning Grupper bokar handledning med student- handledarna,,,
2018-01-19,09:00,2018-01-19,12:00,TIG058. Programmeringsteknik och databaser,,,Torg Grön (405),,Handledning,,Student- handledning Grupper bokar handledning med student- handledarna,,,
2018-01-19,13:00,2018-01-19,16:00,TIG058. Programmeringsteknik och databaser,,,Torg Grön (405),,Handledning,,Student- handledning Grupper bokar handledning med student- handledarna,,,
2018-01-22,09:00,2018-01-22,12:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),Rikard Fröberg,Föreläsning,,Databaser,,,
2018-01-23,09:00,2018-01-23,12:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),Rikard Fröberg,Workshop,,Java Lab,,,
2018-01-23,13:00,2018-01-23,15:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),Rikard Fröberg,Workshop,,Java Lab,,,
2018-01-24,09:00,2018-01-24,12:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),Rikard Fröberg,Föreläsning,,Databaser,,,
2018-01-24,13:00,2018-01-24,15:00,TIG058. Programmeringsteknik och databaser,,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Handledning,,,,,
2018-01-25,09:00,2018-01-25,12:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),Rikard Fröberg,Handledning,,Lab Lärarledd handledning,,,
2018-01-25,13:00,2018-01-25,16:00,TIG058. Programmeringsteknik och databaser,,,Torg Grön (405),,Handledning,,Student- handledning Grupper bokar handledning med student- handledarna,,,
2018-01-26,09:00,2018-01-26,12:00,TIG058. Programmeringsteknik och databaser,,,Torg Grön (405),,Handledning,,Student- handledning Grupper bokar handledning med student- handledarna,,,
2018-01-26,13:00,2018-01-26,16:00,TIG058. Programmeringsteknik och databaser,,,Torg Grön (405),,Handledning,,Student- handledning Grupper bokar handledning med student- handledarna,,,
2018-01-29,09:00,2018-01-29,12:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),Rikard Fröberg,Föreläsning,,Databaser,,,
2018-01-29,13:00,2018-01-29,15:00,TIG058. Programmeringsteknik och databaser,,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Handledning,,,,,
2018-01-30,09:00,2018-01-30,12:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),Rikard Fröberg,Workshop,,Java Lab,,,
2018-01-30,13:00,2018-01-30,15:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),Rikard Fröberg,Workshop,,Java Lab,,,
2018-01-31,09:00,2018-01-31,12:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),Rikard Fröberg,Föreläsning,,Databaser,,,
2018-01-31,13:00,2018-01-31,15:00,TIG058. Programmeringsteknik och databaser,,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Handledning,,,,,
2018-02-01,09:00,2018-02-01,12:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),Rikard Fröberg,Handledning,,Lab Lärarledd handledning,,,
2018-02-01,13:00,2018-02-01,16:00,TIG058. Programmeringsteknik och databaser,,,Torg Grön (405),,Handledning,,Student- handledning Grupper bokar handledning med student- handledarna,,,
2018-02-02,09:00,2018-02-02,12:00,TIG058. Programmeringsteknik och databaser,,,Torg Grön (405),,Handledning,,Student- handledning Grupper bokar handledning med student- handledarna,,,
2018-02-02,13:00,2018-02-02,16:00,TIG058. Programmeringsteknik och databaser,,,Torg Grön (405),,Handledning,,Student- handledning Grupper bokar handledning med student- handledarna,,,
2018-02-05,09:00,2018-02-05,12:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),Rikard Fröberg,Föreläsning,,Databaser,,,
2018-02-05,13:00,2018-02-05,15:00,TIG058. Programmeringsteknik och databaser,,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Handledning,,,,,
2018-02-06,09:00,2018-02-06,12:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),Rikard Fröberg,Workshop,,Java Lab,,,
