Startdatum,Starttid,Slutdatum,Sluttid,Kurs,Omgång,Undervisningstyp,Lokal,Lärare,Klass,Egen text,Undergrupp,Kurs 
2017-02-22,10:00,2017-02-22,12:00,TIG058GU,,Handl,Torg Grön,Alan Carlson,N1SYS-1-GU,,,Programmeringsteknik och databaser
2017-02-23,10:00,2017-02-23,12:00,TIG058GU,,Förel,Torg Grön,Lennart Petersson,N1SYS-1-GU,Java Swing 1,,Programmeringsteknik och databaser
2017-02-23,13:00,2017-02-23,15:00,TIG058GU,,Handl,Torg Grön,,N1SYS-1-GU,,,Programmeringsteknik och databaser
2017-02-27,10:30,2017-02-27,12:00,TIG058GU,,Handl,Torg Orange,Alan Carlson,N1SYS-1-GU,,,Programmeringsteknik och databaser
2017-02-28,09:00,2017-02-28,12:00,TIG058GU,,Förel,Torg Grön,"Alan Carlson,Lennart Petersson",N1SYS-1-GU,Java Swing 2,,Programmeringsteknik och databaser
2017-02-28,13:00,2017-02-28,15:00,TIG058GU,,Handl,Torg Grön,,N1SYS-1-GU,,,Programmeringsteknik och databaser
2017-03-01,10:00,2017-03-01,12:00,TIG058GU,,Workshop,Torg Grön,"Alan Carlson,Lennart Petersson",N1SYS-1-GU,DB Workshop,,Programmeringsteknik och databaser
2017-03-01,13:00,2017-03-01,15:00,TIG058GU,,Handl,Torg Grön,,N1SYS-1-GU,,,Programmeringsteknik och databaser
2017-03-02,10:00,2017-03-02,12:00,TIG058GU,,Förel,Torg Grön,Alan Carlson,N1SYS-1-GU,DB E/R,,Programmeringsteknik och databaser
2017-03-02,13:00,2017-03-02,15:00,TIG058GU,,Handl,Torg Grön,,N1SYS-1-GU,,,Programmeringsteknik och databaser
2017-03-03,10:00,2017-03-03,12:00,TIG058GU,,Handl,Torg Grön,,N1SYS-1-GU,,,Programmeringsteknik och databaser
2017-03-06,10:00,2017-03-06,12:00,TIG058GU,,Handl,Torg Grön,,N1SYS-1-GU,,,Programmeringsteknik och databaser
2017-03-06,13:00,2017-03-06,15:00,TIG058GU,,Handl,Torg Grön,,N1SYS-1-GU,,,Programmeringsteknik och databaser
2017-03-07,10:00,2017-03-07,12:00,TIG058GU,,Förel,Torg Grön,Lennart Petersson,N1SYS-1-GU,DB Interna nivån,,Programmeringsteknik och databaser
2017-03-08,10:00,2017-03-08,12:00,TIG058GU,,Förel,Torg Grön,"Alan Carlson,Lennart Petersson",N1SYS-1-GU,DB Workshop 5 E/R,,Programmeringsteknik och databaser
2017-03-08,13:00,2017-03-08,16:00,TIG058GU,,Handl,Torg Grön,,N1SYS-1-GU,,,Programmeringsteknik och databaser
2017-03-09,10:00,2017-03-09,12:00,TIG058GU,,Handl,Torg Grön,,N1SYS-1-GU,,,Programmeringsteknik och databaser
2017-03-09,13:00,2017-03-09,16:00,TIG058GU,,Handl,Torg Grön,,N1SYS-1-GU,,,Programmeringsteknik och databaser
2017-03-10,10:00,2017-03-10,12:00,TIG058GU,,Handl,Torg Grön,,N1SYS-1-GU,,,Programmeringsteknik och databaser
2017-03-10,13:00,2017-03-10,16:00,TIG058GU,,Handl,Torg Grön,,N1SYS-1-GU,,,Programmeringsteknik och databaser
2017-03-13,10:00,2017-03-13,12:00,TIG058GU,,Handl,Torg Grön,,N1SYS-1-GU,,,Programmeringsteknik och databaser
2017-03-13,13:00,2017-03-13,16:00,TIG058GU,,Handl,Torg Grön,,N1SYS-1-GU,,,Programmeringsteknik och databaser
2017-03-14,10:00,2017-03-14,12:00,TIG058GU,,Handl,Torg Grön,,N1SYS-1-GU,,,Programmeringsteknik och databaser
2017-03-14,13:00,2017-03-14,16:00,TIG058GU,,Handl,Torg Grön,,N1SYS-1-GU,,,Programmeringsteknik och databaser
2017-03-15,10:00,2017-03-15,12:00,TIG058GU,,Handl,Torg Grön,,N1SYS-1-GU,,,Programmeringsteknik och databaser
2017-03-15,13:00,2017-03-15,16:00,TIG058GU,,Handl,Torg Grön,,N1SYS-1-GU,,,Programmeringsteknik och databaser
2017-03-16,08:00,2017-03-16,17:00,TIG058GU,,Handl,,,N1SYS-1-GU,Systemtest lärarens kontor,,Programmeringsteknik och databaser
2017-03-17,08:00,2017-03-17,17:00,TIG058GU,,Handl,,,N1SYS-1-GU,,,Programmeringsteknik och databaser
2017-03-22,14:00,2017-03-22,18:00,TIG058GU,,Tentamen,,,N1SYS-1-GU,,,Programmeringsteknik och databaser
2017-03-23,10:00,2017-03-23,12:00,TIG058GU,,Handl,Torg Grön,Lennart Petersson,N1SYS-1-GU,,,Programmeringsteknik och databaser
2017-03-24,10:00,2017-03-24,12:00,TIG058GU,,Handl,Torg Grön,Lennart Petersson,N1SYS-1-GU,,,Programmeringsteknik och databaser
