Startdatum,Starttid,Slutdatum,Sluttid,Kurs,"Grupp,Undergrupp,Basgrupp",Del av kurs,Lokal,Lärare,Undervisningstyp,Rubrik,Kommentar,Länk,Läsanvisningar,Persongrupp 
2019-02-15,09:00,2019-02-15,12:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),,Projektarbete,,,,,
2019-02-15,13:00,2019-02-15,16:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),,Projektarbete,,,,,
2019-02-18,10:00,2019-02-18,12:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Föreläsning,,Databas - CREATE TABLE och enum,,,
2019-02-18,13:00,2019-02-18,15:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Handledning,,,,,
2019-02-19,10:00,2019-02-19,12:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Workshop,,"Workshop, Java - Introducing lab 2",,,
2019-02-19,13:00,2019-02-19,15:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Workshop,,"Workshop, Java - Introducing lab 2",,,
2019-02-20,10:00,2019-02-20,12:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Föreläsning,,Databas - Scraping data,,,
2019-02-20,13:00,2019-02-20,15:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Handledning,,,,,
2019-02-20,23:45,2019-02-21,00:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,,"Henrik Sandklef, Rikard Fröberg",Inlämning,GUL,Deadline inlämning lab 1 i GUL,,,
2019-02-21,09:00,2019-02-21,12:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),,Projektarbete,,,,,
2019-02-21,13:00,2019-02-21,16:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),,Projektarbete,,,,,
2019-02-22,09:00,2019-02-22,12:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),,Projektarbete,,,,,
2019-02-22,13:00,2019-02-22,16:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),,Projektarbete,,,,,
2019-02-25,10:00,2019-02-25,12:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Workshop,,"Databas - Workshop, databasuppgift 2",,,
2019-02-25,13:00,2019-02-25,15:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Handledning,,,,,
2019-02-26,10:00,2019-02-26,12:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Workshop,,Java - Writing a GUI from scratch,,,
2019-02-26,13:00,2019-02-26,15:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Workshop,,Java - Writing a GUI from scratch,,,
2019-02-27,10:00,2019-02-27,12:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Föreläsning,,Databas - JDBC introduktion,,,
